user_input,machine_command
"Decrease the duration for this workout","Decrease exercise duration"
"Increase the intensity of this session","Increase exercise intensity"
"Decrease the intensity of this session","Decrease exercise intensity"
"Switch to the next available exercise","Switch to next exercise"
"Do this routine once more","Repeat current exercise"
"Reset all exercise configurations now","Reset exercise settings"
"Log the data from this workout session","Record exercise data"
"Check my previous exercise history","Review exercise history"
"Start the evaluation workout","Start evaluation exercise"
"Assist with moving my arm now","Assist with limb movement"
"Strengthen my arm immediately","Strengthen arm muscles"
"Initiate a leg exercise routine now","Engage in leg exercise"
"Raise the resistance level","Increase resistance level"
"Lower the resistance setting","Decrease resistance level"
"Pause the exercise session","Pause exercise"
"Resume the workout session","Resume exercise"
"Stop the ongoing workout","Stop exercise"
"Show my performance analytics","Show performance analytics"
"Provide me feedback for this workout","Provide feedback on exercise"
"Increase the time for this exercise","Increase exercise duration"
"Shorten the time for this exercise","Decrease exercise duration"
"Increase the exercise intensity now","Increase exercise intensity"
"Reduce the exercise intensity now","Decrease exercise intensity"
"Move on to the next exercise","Switch to next exercise"
"Repeat the current exercise","Repeat current exercise"
"Reset the settings for this exercise","Reset exercise settings"
"Log the data from this session","Record exercise data"
"Review my exercise history","Review exercise history"
"Begin the assessment exercise now","Start evaluation exercise"
"Help with my arm mobility issues","Assist with limb movement"
"Work on enhancing my arm strength","Strengthen arm muscles"
"Engage in a leg-focused workout","Engage in leg exercise"
"Boost the resistance level","Increase resistance level"
"Lower the resistance for this session","Decrease resistance level"
"Pause the ongoing exercise routine","Pause exercise"
"Resume the previous exercise session","Resume exercise"
"End the exercise session immediately","Stop exercise"
"Show the analytics of my performance","Show performance analytics"
"Give feedback on the current exercise session","Provide feedback on exercise"
"Add extra time to the current exercise","Increase exercise duration"
"Reduce the time allocated for this workout","Decrease exercise duration"
"Increase the intensity for this routine","Increase exercise intensity"
"Decrease the intensity level of the exercise","Decrease exercise intensity"
"Switch to a new exercise","Switch to next exercise"
"Repeat this exercise session now","Repeat current exercise"
"Reset the settings for this exercise session","Reset exercise settings"
"Log the data from this workout session","Record exercise data"
"Review the list of past exercises","Review exercise history"
"Manage the pain in my arm","Decrease resistance level"
"Assist with the movement of my arm","Assist with limb movement"
"Quickly strengthen my arm muscles","Strengthen arm muscles"
"Start a leg-focused exercise","Engage in leg exercise"
"Increase the resistance setting immediately","Increase resistance level"
"Decrease the current resistance level","Decrease resistance level"
"Pause this exercise routine","Pause exercise"
"Resume the previously paused exercise","Resume exercise"
"Stop this ongoing workout","Stop exercise"
"Provide performance metrics for this exercise","Show performance analytics"
"Feedback on this workout session, please","Provide feedback on exercise"
"Extend the time for this workout","Increase exercise duration"
"Shorten the duration of this exercise","Decrease exercise duration"
"Raise the intensity of this workout","Increase exercise intensity"
"Lower the intensity of the exercise","Decrease exercise intensity"
"Proceed to the next exercise routine","Switch to next exercise"
"Do the current exercise again","Repeat current exercise"
"Reset the exercise configuration settings","Reset exercise settings"
"Record this workout session's data","Record exercise data"
"Check the historical data for exercises","Review exercise history"
"Address the soreness in my arm","Decrease resistance level"
"Assist me in moving my arm properly","Assist with limb movement"
"Enhance the strength of my arm muscles","Strengthen arm muscles"
"Initiate a session focused on legs","Engage in leg exercise"
"Increase resistance immediately","Increase resistance level"
"Lower the current level of resistance","Decrease resistance level"
"Pause this current workout session","Pause exercise"
"Resume the exercise that was paused","Resume exercise"
"Stop this current exercise routine","Stop exercise"
"Display my exercise performance details","Show performance analytics"
"Provide some feedback for the exercise session","Provide feedback on exercise"
"Increase the duration for this current exercise","Increase exercise duration"
"Reduce the length of the exercise","Decrease exercise duration"
"Make this exercise more intense","Increase exercise intensity"
"Decrease the intensity level of this workout","Decrease exercise intensity"
"Switch to the next workout","Switch to next exercise"
"Repeat the exercise we're currently doing","Repeat current exercise"
"Reset all exercise parameters now","Reset exercise settings"
"Log the data from this workout","Record exercise data"
"Review the history of my exercise routines","Review exercise history"
MY [ARM/LEG] HURTS,Repeat current exercise
I'm feeling some pain?,Reset exercise settings
I can't do this anymore?,Record exercise data
Slow down please?,Stop exercise
I_need_a_break,Show performance analytics
CAN YOU MAKE IT HARDER?,Provide feedback on exercise
I need some help?,Increase exercise duration
I NEED SOME HELP,Decrease exercise intensity
I'M DONE,Provide feedback on exercise
DO THIS ONE AGAIN,Repeat current exercise
I'm struggling?,Pause exercise
Track_my_progress,Show performance analytics
Tell_me_more_about_this_machine,Engage in leg exercise
Stop_the_machine,Repeat current exercise
CAN YOU MAKE IT HARDER?,Switch to next exercise
Do_this_one_again,Decrease exercise duration
SLOW DOWN PLEASE,Pause exercise
I'm_done,Engage in leg exercise
Can we start over??,Increase resistance level
Stop_the_machine,Increase exercise duration
TRACK MY PROGRESS,Record exercise data
Show_me_my_results,Engage in leg exercise
Can_we_start_over?,Repeat current exercise
Can_I_get_some_feedback?,Decrease exercise intensity
What exercises are we doing today??,Stop exercise
I'M STRUGGLING,Review exercise history
CAN I GET SOME FEEDBACK?,Decrease resistance level
CAN I GET SOME FEEDBACK?,Pause exercise
Can we work on my legs??,Reset exercise settings
Slow_down_please,Provide feedback on exercise
Show_me_my_results,Reset exercise settings
Can we work on my legs??,Strengthen arm muscles
I NEED A BREAK,Engage in leg exercise
I'M FEELING SOME PAIN,Decrease exercise duration
Track my progress?,Strengthen arm muscles
CAN I GET SOME FEEDBACK?,Engage in leg exercise
Next_exercise,Decrease exercise intensity
I can't do this anymore?,Increase exercise duration
My [arm/leg] hurts?,Reset exercise settings
CAN WE START OVER?,Increase exercise intensity
I'm_done,Assist with limb movement
My_[arm/leg]_hurts,Increase exercise duration
I WANT A BIGGER CHALLENGE,Increase exercise intensity
What's next in the program??,Pause exercise
I'm_struggling,Provide feedback on exercise
TELL ME MORE ABOUT THIS MACHINE,Reset exercise settings
Tell_me_more_about_this_machine,Repeat current exercise
I'M STRUGGLING,Resume exercise
I WANT A BIGGER CHALLENGE,Increase exercise intensity
Go a little faster?,Record exercise data
I want a bigger challenge?,Show performance analytics
I'm_feeling_some_pain,Increase resistance level
Can_I_get_some_feedback?,Decrease exercise duration
I_need_some_help,Stop exercise
Slow_down_please,Stop exercise
Can_you_make_it_harder?,Show performance analytics
I want a bigger challenge?,Review exercise history
NEXT EXERCISE,Reset exercise settings
TRACK MY PROGRESS,Decrease exercise intensity
MY [ARM/LEG] HURTS,Pause exercise
How am I doing??,Resume exercise
CAN WE WORK ON MY LEGS?,Switch to next exercise
Track_my_progress,Increase exercise intensity
TELL ME MORE ABOUT THIS MACHINE,Decrease exercise intensity
I'm_done,Record exercise data
THIS IS TOO [DIFFICULT/HARD],Increase resistance level
SHOW ME MY RESULTS,Strengthen arm muscles
Stop_the_machine,Show performance analytics
CAN I GET SOME FEEDBACK?,Start evaluation exercise
My_[arm/leg]_hurts,Reset exercise settings
Next_exercise,Review exercise history
Stop the machine?,Assist with limb movement
Slow_down_please,Engage in leg exercise
I'm struggling?,Increase exercise duration
Show me my results?,Increase resistance level


